Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,lifecycle:transition,description,defectType,phoneType,numberRepairs,defectFixed
1003,Analyze Defect,Tester5,1970-01-22 06:43:00.000,1970-01-22 06:49:00.000,Variant 35,35,complete,Simulated process instance,1,T3,,
1003,Repair (Simple),SolverS1,1970-01-22 07:08:00.000,1970-01-22 07:14:00.000,Variant 35,35,complete,Simulated process instance,,,,
1003,Test Repair,Tester6,1970-01-22 07:14:00.000,1970-01-22 07:20:00.000,Variant 35,35,complete,Simulated process instance,,,1,false
1003,Inform User,System,1970-01-22 07:19:00.000,1970-01-22 07:19:00.000,Variant 35,35,complete,Simulated process instance,,,,
1003,Restart Repair,System,1970-01-22 07:27:00.000,1970-01-22 07:27:00.000,Variant 35,35,complete,Simulated process instance,,,,
1003,Repair (Simple),SolverS3,1970-01-22 07:27:00.000,1970-01-22 07:41:00.000,Variant 35,35,complete,Simulated process instance,,,,
1003,Test Repair,Tester6,1970-01-22 07:41:00.000,1970-01-22 07:51:00.000,Variant 35,35,complete,Simulated process instance,,,2,true
1004,Register,System,1970-01-22 10:27:00.000,1970-01-22 10:27:00.000,Variant 12,12,complete,Simulated process instance,,,,
1004,Analyze Defect,Tester1,1970-01-22 10:27:00.000,1970-01-22 10:34:00.000,Variant 12,12,complete,Simulated process instance,1,T1,,
1004,Repair (Simple),SolverS2,1970-01-22 10:40:00.000,1970-01-22 10:51:00.000,Variant 12,12,complete,Simulated process instance,,,,
1004,Test Repair,Tester5,1970-01-22 10:51:00.000,1970-01-22 11:00:00.000,Variant 12,12,complete,Simulated process instance,,,1,true
1004,Inform User,System,1970-01-22 11:10:00.000,1970-01-22 11:10:00.000,Variant 12,12,complete,Simulated process instance,,,,
1005,Register,System,1970-01-22 00:31:00.000,1970-01-22 00:31:00.000,Variant 12,12,complete,Simulated process instance,,,,
1005,Analyze Defect,Tester5,1970-01-22 00:31:00.000,1970-01-22 00:40:00.000,Variant 12,12,complete,Simulated process instance,3,T2,,
1005,Repair (Simple),SolverS3,1970-01-22 00:47:00.000,1970-01-22 01:01:00.000,Variant 12,12,complete,Simulated process instance,,,,
1005,Test Repair,Tester6,1970-01-22 01:01:00.000,1970-01-22 01:11:00.000,Variant 12,12,complete,Simulated process instance,,,1,true
1005,Inform User,System,1970-01-22 01:16:00.000,1970-01-22 01:16:00.000,Variant 12,12,complete,Simulated process instance,,,,
1006,Register,System,1970-01-22 13:34:00.000,1970-01-22 13:34:00.000,Variant 10,10,complete,Simulated process instance,,,,
1006,Analyze Defect,Tester3,1970-01-22 13:34:00.000,1970-01-22 13:40:00.000,Variant 10,10,complete,Simulated process instance,7,T3,,
1006,Repair (Complex),SolverC3,1970-01-22 13:54:00.000,1970-01-22 14:34:00.000,Variant 10,10,complete,Simulated process instance,,,,
1006,Inform User,System,1970-01-22 14:27:00.000,1970-01-22 14:27:00.000,Variant 10,10,complete,Simulated process instance,,,,
1006,Test Repair,Tester5,1970-01-22 14:34:00.000,1970-01-22 14:44:00.000,Variant 10,10,complete,Simulated process instance,,,0,true
1007,Register,System,1970-01-21 18:27:00.000,1970-01-21 18:27:00.000,Variant 29,29,complete,Simulated process instance,,,,
1007,Analyze Defect,Tester6,1970-01-21 18:27:00.000,1970-01-21 18:33:00.000,Variant 29,29,complete,Simulated process instance,2,T1,,
1007,Inform User,System,1970-01-21 18:51:00.000,1970-01-21 18:51:00.000,Variant 29,29,complete,Simulated process instance,,,,
1007,Repair (Simple),SolverS3,1970-01-21 18:54:00.000,1970-01-21 19:14:00.000,Variant 29,29,complete,Simulated process instance,,,,
1007,Test Repair,Tester3,1970-01-21 19:14:00.000,1970-01-21 19:19:00.000,Variant 29,29,complete,Simulated process instance,,,1,true
1008,Register,System,1970-01-22 03:25:00.000,1970-01-22 03:25:00.000,Variant 46,46,complete,Simulated process instance,,,,
1008,Analyze Defect,Tester5,1970-01-22 03:25:00.000,1970-01-22 03:32:00.000,Variant 46,46,complete,Simulated process instance,2,T3,,
1008,Repair (Simple),SolverS1,1970-01-22 03:56:00.000,1970-01-22 04:02:00.000,Variant 46,46,complete,Simulated process instance,,,,
1008,Inform User,System,1970-01-22 04:00:00.000,1970-01-22 04:00:00.000,Variant 46,46,complete,Simulated process instance,,,,
1008,Test Repair,Tester1,1970-01-22 04:02:00.000,1970-01-22 04:07:00.000,Variant 46,46,complete,Simulated process instance,,,1,false
1008,Restart Repair,System,1970-01-22 04:14:00.000,1970-01-22 04:14:00.000,Variant 46,46,complete,Simulated process instance,,,,
1008,Repair (Simple),SolverS1,1970-01-22 04:14:00.000,1970-01-22 04:21:00.000,Variant 46,46,complete,Simulated process instance,,,,
1008,Test Repair,Tester6,1970-01-22 04:21:00.000,1970-01-22 04:30:00.000,Variant 46,46,complete,Simulated process instance,,,2,false
1008,Restart Repair,System,1970-01-22 04:35:00.000,1970-01-22 04:35:00.000,Variant 46,46,complete,Simulated process instance,,,,
1008,Repair (Simple),SolverS2,1970-01-22 04:35:00.000,1970-01-22 04:42:00.000,Variant 46,46,complete,Simulated process instance,,,,
1008,Test Repair,Tester2,1970-01-22 04:42:00.000,1970-01-22 04:47:00.000,Variant 46,46,complete,Simulated process instance,,,3,true
1009,Register,System,1970-01-21 19:59:00.000,1970-01-21 19:59:00.000,Variant 13,13,complete,Simulated process instance,,,,
1009,Analyze Defect,Tester1,1970-01-21 19:59:00.000,1970-01-21 20:04:00.000,Variant 13,13,complete,Simulated process instance,7,T2,,
1009,Repair (Complex),SolverC2,1970-01-21 20:17:00.000,1970-01-21 20:29:00.000,Variant 13,13,complete,Simulated process instance,,,,
1009,Test Repair,Tester4,1970-01-21 20:29:00.000,1970-01-21 20:36:00.000,Variant 13,13,complete,Simulated process instance,,,0,true
1009,Inform User,System,1970-01-21 20:46:00.000,1970-01-21 20:46:00.000,Variant 13,13,complete,Simulated process instance,,,,
101,Register,System,1970-01-04 03:00:00.000,1970-01-04 03:00:00.000,Variant 4,4,complete,Simulated process instance,,,,
101,Analyze Defect,Tester2,1970-01-04 03:00:00.000,1970-01-04 03:05:00.000,Variant 4,4,complete,Simulated process instance,8,T2,,
101,Inform User,System,1970-01-04 03:31:00.000,1970-01-04 03:31:00.000,Variant 4,4,complete,Simulated process instance,,,,
101,Repair (Complex),SolverC3,1970-01-04 03:33:00.000,1970-01-04 04:14:00.000,Variant 4,4,complete,Simulated process instance,,,,
101,Test Repair,Tester6,1970-01-04 04:14:00.000,1970-01-04 04:24:00.000,Variant 4,4,complete,Simulated process instance,,,0,true
101,Archive Repair,System,1970-01-04 04:30:00.000,1970-01-04 04:30:00.000,Variant 4,4,complete,Simulated process instance,,,0,true
1010,Register,System,1970-01-22 12:08:00.000,1970-01-22 12:08:00.000,Variant 33,33,complete,Simulated process instance,,,,
1010,Analyze Defect,Tester1,1970-01-22 12:08:00.000,1970-01-22 12:13:00.000,Variant 33,33,complete,Simulated process instance,2,T2,,
1010,Repair (Simple),SolverS1,1970-01-22 12:30:00.000,1970-01-22 12:37:00.000,Variant 33,33,complete,Simulated process instance,,,,
1010,Test Repair,Tester6,1970-01-22 12:37:00.000,1970-01-22 12:47:00.000,Variant 33,33,complete,Simulated process instance,,,1,false
1010,Restart Repair,System,1970-01-22 12:53:00.000,1970-01-22 12:53:00.000,Variant 33,33,complete,Simulated process instance,,,,
1010,Repair (Simple),SolverS2,1970-01-22 12:53:00.000,1970-01-22 13:05:00.000,Variant 33,33,complete,Simulated process instance,,,,
1010,Inform User,System,1970-01-22 12:56:00.000,1970-01-22 12:56:00.000,Variant 33,33,complete,Simulated process instance,,,,
1010,Test Repair,Tester1,1970-01-22 13:05:00.000,1970-01-22 13:10:00.000,Variant 33,33,complete,Simulated process instance,,,2,true
1011,Register,System,1970-01-21 18:30:00.000,1970-01-21 18:30:00.000,Variant 10,10,complete,Simulated process instance,,,,
1011,Analyze Defect,Tester5,1970-01-21 18:30:00.000,1970-01-21 18:39:00.000,Variant 10,10,complete,Simulated process instance,9,T2,,
1011,Repair (Complex),SolverC3,1970-01-21 18:43:00.000,1970-01-21 19:33:00.000,Variant 10,10,complete,Simulated process instance,,,,
1011,Inform User,System,1970-01-21 19:23:00.000,1970-01-21 19:23:00.000,Variant 10,10,complete,Simulated process instance,,,,
1011,Test Repair,Tester5,1970-01-21 19:33:00.000,1970-01-21 19:38:00.000,Variant 10,10,complete,Simulated process instance,,,0,true
1012,Register,System,1970-01-22 00:53:00.000,1970-01-22 00:53:00.000,Variant 13,13,complete,Simulated process instance,,,,
1012,Analyze Defect,Tester6,1970-01-22 00:53:00.000,1970-01-22 00:58:00.000,Variant 13,13,complete,Simulated process instance,8,T2,,
1012,Repair (Complex),SolverC1,1970-01-22 01:17:00.000,1970-01-22 01:32:00.000,Variant 13,13,complete,Simulated process instance,,,,
1012,Test Repair,Tester6,1970-01-22 01:32:00.000,1970-01-22 01:38:00.000,Variant 13,13,complete,Simulated process instance,,,0,true
1012,Inform User,System,1970-01-22 01:48:00.000,1970-01-22 01:48:00.000,Variant 13,13,complete,Simulated process instance,,,,
1013,Register,System,1970-01-22 02:52:00.000,1970-01-22 02:52:00.000,Variant 10,10,complete,Simulated process instance,,,,
1013,Analyze Defect,Tester6,1970-01-22 02:52:00.000,1970-01-22 02:58:00.000,Variant 10,10,complete,Simulated process instance,9,T3,,
1013,Repair (Complex),SolverC3,1970-01-22 03:24:00.000,1970-01-22 04:08:00.000,Variant 10,10,complete,Simulated process instance,,,,
1013,Inform User,System,1970-01-22 03:40:00.000,1970-01-22 03:40:00.000,Variant 10,10,complete,Simulated process instance,,,,
1013,Test Repair,Tester2,1970-01-22 04:08:00.000,1970-01-22 04:18:00.000,Variant 10,10,complete,Simulated process instance,,,0,true
1014,Register,System,1970-01-23 02:31:00.000,1970-01-23 02:31:00.000,Variant 12,12,complete,Simulated process instance,,,,
1014,Analyze Defect,Tester4,1970-01-23 02:31:00.000,1970-01-23 02:40:00.000,Variant 12,12,complete,Simulated process instance,3,T1,,
1014,Repair (Simple),SolverS3,1970-01-23 02:41:00.000,1970-01-23 02:55:00.000,Variant 12,12,complete,Simulated process instance,,,,
1014,Test Repair,Tester6,1970-01-23 02:55:00.000,1970-01-23 03:03:00.000,Variant 12,12,complete,Simulated process instance,,,1,true
1014,Inform User,System,1970-01-23 02:58:00.000,1970-01-23 02:58:00.000,Variant 12,12,complete,Simulated process instance,,,,
1015,Register,System,1970-01-22 07:15:00.000,1970-01-22 07:15:00.000,Variant 13,13,complete,Simulated process instance,,,,
1015,Analyze Defect,Tester1,1970-01-22 07:15:00.000,1970-01-22 07:24:00.000,Variant 13,13,complete,Simulated process instance,10,T1,,
1015,Repair (Complex),SolverC1,1970-01-22 07:37:00.000,1970-01-22 07:47:00.000,Variant 13,13,complete,Simulated process instance,,,,
1015,Test Repair,Tester2,1970-01-22 07:47:00.000,1970-01-22 07:54:00.000,Variant 13,13,complete,Simulated process instance,,,0,true
1015,Inform User,System,1970-01-22 07:55:00.000,1970-01-22 07:55:00.000,Variant 13,13,complete,Simulated process instance,,,,
1016,Register,System,1970-01-23 00:32:00.000,1970-01-23 00:32:00.000,Variant 46,46,complete,Simulated process instance,,,,
1016,Analyze Defect,Tester4,1970-01-23 00:32:00.000,1970-01-23 00:42:00.000,Variant 46,46,complete,Simulated process instance,5,T3,,
1016,Repair (Simple),SolverS2,1970-01-23 01:07:00.000,1970-01-23 01:22:00.000,Variant 46,46,complete,Simulated process instance,,,,
1016,Inform User,System,1970-01-23 01:21:00.000,1970-01-23 01:21:00.000,Variant 46,46,complete,Simulated process instance,,,,
1016,Test Repair,Tester4,1970-01-23 01:22:00.000,1970-01-23 01:29:00.000,Variant 46,46,complete,Simulated process instance,,,1,false
1016,Restart Repair,System,1970-01-23 01:39:00.000,1970-01-23 01:39:00.000,Variant 46,46,complete,Simulated process instance,,,,
1016,Repair (Simple),SolverS1,1970-01-23 01:39:00.000,1970-01-23 01:46:00.000,Variant 46,46,complete,Simulated process instance,,,,
1016,Test Repair,Tester6,1970-01-23 01:46:00.000,1970-01-23 01:51:00.000,Variant 46,46,complete,Simulated process instance,,,2,false
1016,Restart Repair,System,1970-01-23 02:01:00.000,1970-01-23 02:01:00.000,Variant 46,46,complete,Simulated process instance,,,,
1016,Repair (Simple),SolverS3,1970-01-23 02:01:00.000,1970-01-23 02:14:00.000,Variant 46,46,complete,Simulated process instance,,,,
1016,Test Repair,Tester3,1970-01-23 02:14:00.000,1970-01-23 02:19:00.000,Variant 46,46,complete,Simulated process instance,,,3,true
1017,Register,System,1970-01-22 07:48:00.000,1970-01-22 07:48:00.000,Variant 21,21,complete,Simulated process instance,,,,
1017,Analyze Defect,Tester1,1970-01-22 07:48:00.000,1970-01-22 07:58:00.000,Variant 21,21,complete,Simulated process instance,1,T3,,
1017,Repair (Simple),SolverS2,1970-01-22 08:28:00.000,1970-01-22 08:41:00.000,Variant 21,21,complete,Simulated process instance,,,,
1017,Inform User,System,1970-01-22 08:39:00.000,1970-01-22 08:39:00.000,Variant 21,21,complete,Simulated process instance,,,,
1017,Test Repair,Tester3,1970-01-22 08:41:00.000,1970-01-22 08:50:00.000,Variant 21,21,complete,Simulated process instance,,,1,true
1018,Register,System,1970-01-23 00:16:00.000,1970-01-23 00:16:00.000,Variant 26,26,complete,Simulated process instance,,,,
1018,Analyze Defect,Tester1,1970-01-23 00:16:00.000,1970-01-23 00:21:00.000,Variant 26,26,complete,Simulated process instance,10,T2,,
1018,Inform User,System,1970-01-23 00:36:00.000,1970-01-23 00:36:00.000,Variant 26,26,complete,Simulated process instance,,,,
1018,Repair (Complex),SolverC2,1970-01-23 00:46:00.000,1970-01-23 01:04:00.000,Variant 26,26,complete,Simulated process instance,,,,
1018,Test Repair,Tester1,1970-01-23 01:04:00.000,1970-01-23 01:10:00.000,Variant 26,26,complete,Simulated process instance,,,0,true
1019,Register,System,1970-01-23 00:16:00.000,1970-01-23 00:16:00.000,Variant 13,13,complete,Simulated process instance,,,,
1019,Analyze Defect,Tester4,1970-01-23 00:16:00.000,1970-01-23 00:22:00.000,Variant 13,13,complete,Simulated process instance,7,T2,,
1019,Repair (Complex),SolverC3,1970-01-23 00:23:00.000,1970-01-23 01:03:00.000,Variant 13,13,complete,Simulated process instance,,,,
1019,Test Repair,Tester6,1970-01-23 01:03:00.000,1970-01-23 01:12:00.000,Variant 13,13,complete,Simulated process instance,,,0,true
1019,Inform User,System,1970-01-23 01:08:00.000,1970-01-23 01:08:00.000,Variant 13,13,complete,Simulated process instance,,,,
102,Register,System,1970-01-03 16:19:00.000,1970-01-03 16:19:00.000,Variant 1,1,complete,Simulated process instance,,,,
102,Analyze Defect,Tester1,1970-01-03 16:19:00.000,1970-01-03 16:25:00.000,Variant 1,1,complete,Simulated process instance,9,T2,,
102,Repair (Complex),SolverC3,1970-01-03 16:50:00.000,1970-01-03 17:32:00.000,Variant 1,1,complete,Simulated process instance,,,,
102,Inform User,System,1970-01-03 17:12:00.000,1970-01-03 17:12:00.000,Variant 1,1,complete,Simulated process instance,,,,
102,Test Repair,Tester6,1970-01-03 17:32:00.000,1970-01-03 17:41:00.000,Variant 1,1,complete,Simulated process instance,,,0,true
102,Archive Repair,System,1970-01-03 17:49:00.000,1970-01-03 17:49:00.000,Variant 1,1,complete,Simulated process instance,,,0,true
1020,Register,System,1970-01-21 22:47:00.000,1970-01-21 22:47:00.000,Variant 10,10,complete,Simulated process instance,,,,
1020,Analyze Defect,Tester2,1970-01-21 22:47:00.000,1970-01-21 22:53:00.000,Variant 10,10,complete,Simulated process instance,10,T2,,
1020,Repair (Complex),SolverC3,1970-01-21 23:02:00.000,1970-01-21 23:46:00.000,Variant 10,10,complete,Simulated process instance,,,,
1020,Inform User,System,1970-01-21 23:21:00.000,1970-01-21 23:21:00.000,Variant 10,10,complete,Simulated process instance,,,,
1020,Test Repair,Tester5,1970-01-21 23:46:00.000,1970-01-21 23:53:00.000,Variant 10,10,complete,Simulated process instance,,,0,true
1021,Register,System,1970-01-23 00:46:00.000,1970-01-23 00:46:00.000,Variant 13,13,complete,Simulated process instance,,,,
1021,Analyze Defect,Tester6,1970-01-23 00:46:00.000,1970-01-23 00:55:00.000,Variant 13,13,complete,Simulated process instance,9,T1,,
1021,Repair (Complex),SolverC2,1970-01-23 01:20:00.000,1970-01-23 01:34:00.000,Variant 13,13,complete,Simulated process instance,,,,
1021,Test Repair,Tester2,1970-01-23 01:34:00.000,1970-01-23 01:42:00.000,Variant 13,13,complete,Simulated process instance,,,0,true
1021,Inform User,System,1970-01-23 01:38:00.000,1970-01-23 01:38:00.000,Variant 13,13,complete,Simulated process instance,,,,
1022,Register,System,1970-01-23 00:21:00.000,1970-01-23 00:21:00.000,Variant 21,21,complete,Simulated process instance,,,,
1022,Analyze Defect,Tester5,1970-01-23 00:21:00.000,1970-01-23 00:26:00.000,Variant 21,21,complete,Simulated process instance,2,T3,,
1022,Repair (Simple),SolverS3,1970-01-23 00:49:00.000,1970-01-23 01:07:00.000,Variant 21,21,complete,Simulated process instance,,,,
1022,Inform User,System,1970-01-23 00:50:00.000,1970-01-23 00:50:00.000,Variant 21,21,complete,Simulated process instance,,,,
1022,Test Repair,Tester2,1970-01-23 01:07:00.000,1970-01-23 01:13:00.000,Variant 21,21,complete,Simulated process instance,,,1,true
1023,Register,System,1970-01-22 11:38:00.000,1970-01-22 11:38:00.000,Variant 13,13,complete,Simulated process instance,,,,
1023,Analyze Defect,Tester1,1970-01-22 11:38:00.000,1970-01-22 11:47:00.000,Variant 13,13,complete,Simulated process instance,7,T3,,
1023,Repair (Complex),SolverC1,1970-01-22 11:58:00.000,1970-01-22 12:12:00.000,Variant 13,13,complete,Simulated process instance,,,,
1023,Test Repair,Tester2,1970-01-22 12:12:00.000,1970-01-22 12:18:00.000,Variant 13,13,complete,Simulated process instance,,,0,true
1023,Inform User,System,1970-01-22 12:28:00.000,1970-01-22 12:28:00.000,Variant 13,13,complete,Simulated process instance,,,,
1024,Register,System,1970-01-23 04:32:00.000,1970-01-23 04:32:00.000,Variant 49,49,complete,Simulated process instance,,,,
1024,Analyze Defect,Tester5,1970-01-23 04:32:00.000,1970-01-23 04:37:00.000,Variant 49,49,complete,Simulated process instance,5,T2,,
1024,Repair (Simple),SolverS1,1970-01-23 04:53:00.000,1970-01-23 05:00:00.000,Variant 49,49,complete,Simulated process instance,,,,
1024,Test Repair,Tester5,1970-01-23 05:00:00.000,1970-01-23 05:07:00.000,Variant 49,49,complete,Simulated process instance,,,1,false
1024,Restart Repair,System,1970-01-23 05:12:00.000,1970-01-23 05:12:00.000,Variant 49,49,complete,Simulated process instance,,,,
1024,Repair (Simple),SolverS2,1970-01-23 05:12:00.000,1970-01-23 05:22:00.000,Variant 49,49,complete,Simulated process instance,,,,
1024,Inform User,System,1970-01-23 05:18:00.000,1970-01-23 05:18:00.000,Variant 49,49,complete,Simulated process instance,,,,
1024,Test Repair,Tester1,1970-01-23 05:22:00.000,1970-01-23 05:29:00.000,Variant 49,49,complete,Simulated process instance,,,2,false
1024,Restart Repair,System,1970-01-23 05:34:00.000,1970-01-23 05:34:00.000,Variant 49,49,complete,Simulated process instance,,,,
1024,Repair (Complex),SolverC2,1970-01-23 05:34:00.000,1970-01-23 05:48:00.000,Variant 49,49,complete,Simulated process instance,,,,
1024,Test Repair,Tester4,1970-01-23 05:48:00.000,1970-01-23 05:58:00.000,Variant 49,49,complete,Simulated process instance,,,2,true
1025,Register,System,1970-01-21 22:17:00.000,1970-01-21 22:17:00.000,Variant 12,12,complete,Simulated process instance,,,,
1025,Analyze Defect,Tester6,1970-01-21 22:17:00.000,1970-01-21 22:26:00.000,Variant 12,12,complete,Simulated process instance,1,T1,,
1025,Repair (Simple),SolverS2,1970-01-21 22:40:00.000,1970-01-21 22:50:00.000,Variant 12,12,complete,Simulated process instance,,,,
1025,Test Repair,Tester1,1970-01-21 22:50:00.000,1970-01-21 22:57:00.000,Variant 12,12,complete,Simulated process instance,,,1,true
1025,Inform User,System,1970-01-21 23:13:00.000,1970-01-21 23:13:00.000,Variant 12,12,complete,Simulated process instance,,,,
1026,Register,System,1970-01-22 04:24:00.000,1970-01-22 04:24:00.000,Variant 10,10,complete,Simulated process instance,,,,
1026,Analyze Defect,Tester3,1970-01-22 04:24:00.000,1970-01-22 04:29:00.000,Variant 10,10,complete,Simulated process instance,9,T2,,
1026,Repair (Complex),SolverC3,1970-01-22 04:38:00.000,1970-01-22 05:18:00.000,Variant 10,10,complete,Simulated process instance,,,,
1026,Inform User,System,1970-01-22 05:10:00.000,1970-01-22 05:10:00.000,Variant 10,10,complete,Simulated process instance,,,,
1026,Test Repair,Tester3,1970-01-22 05:18:00.000,1970-01-22 05:25:00.000,Variant 10,10,complete,Simulated process instance,,,0,true
1027,Register,System,1970-01-22 16:16:00.000,1970-01-22 16:16:00.000,Variant 21,21,complete,Simulated process instance,,,,
1027,Analyze Defect,Tester1,1970-01-22 16:16:00.000,1970-01-22 16:24:00.000,Variant 21,21,complete,Simulated process instance,1,T3,,
1027,Repair (Simple),SolverS2,1970-01-22 16:37:00.000,1970-01-22 16:46:00.000,Variant 21,21,complete,Simulated process instance,,,,
1027,Inform User,System,1970-01-22 16:39:00.000,1970-01-22 16:39:00.000,Variant 21,21,complete,Simulated process instance,,,,
1027,Test Repair,Tester6,1970-01-22 16:46:00.000,1970-01-22 16:54:00.000,Variant 21,21,complete,Simulated process instance,,,1,true
1028,Register,System,1970-01-22 09:18:00.000,1970-01-22 09:18:00.000,Variant 26,26,complete,Simulated process instance,,,,
1028,Analyze Defect,Tester6,1970-01-22 09:18:00.000,1970-01-22 09:28:00.000,Variant 26,26,complete,Simulated process instance,6,T1,,
1028,Inform User,System,1970-01-22 09:44:00.000,1970-01-22 09:44:00.000,Variant 26,26,complete,Simulated process instance,,,,
1028,Repair (Complex),SolverC2,1970-01-22 09:55:00.000,1970-01-22 10:06:00.000,Variant 26,26,complete,Simulated process instance,,,,
1028,Test Repair,Tester4,1970-01-22 10:06:00.000,1970-01-22 10:14:00.000,Variant 26,26,complete,Simulated process instance,,,0,true
1029,Register,System,1970-01-22 21:01:00.000,1970-01-22 21:01:00.000,Variant 12,12,complete,Simulated process instance,,,,
1029,Analyze Defect,Tester1,1970-01-22 21:01:00.000,1970-01-22 21:08:00.000,Variant 12,12,complete,Simulated process instance,2,T1,,
1029,Repair (Simple),SolverS3,1970-01-22 21:26:00.000,1970-01-22 21:38:00.000,Variant 12,12,complete,Simulated process instance,,,,
